Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C21",0805,4,22u,
"C10, C11, C12, C13, C14, C16, C17, C5, C6",0805,9,100n,
C15,0805,1,0.33u,
"C2, C7",0805,2,10u,
"C3, C4, C8, C9",0805,4,26p,
"D1, D2, D3",Nexperia_CFP3_SOD-123W,3,PMEG2010ER,
D4,D_SOD-128,1,STPS5H100AFY,
D5,1206,1,GREEN,
"D6, D9",1206,2,RED,
D7,1206,1,BLUE,
D8,1206,1,WHITE,
F1,1206,1,Polyfuse 10A,
"F2, F3",1206,2,Polyfuse 1A,
"J1, J2",PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,2,Conn_01x05_Female,
J3,connector_Harwin_G125–MG10605M4P,1,Harwin_G125-MG10605M4P,
J4,HARWIN_M80-5000000M5-02-333-00-000,1,Harwin_M80-5000000M5-02-333-00-000,
J5,HARWIN_M80-5400642,1,Harwin_M80-5400642,
"J6, J7",HARWIN_M80-8510442,2,Harwin_M80-8510442,
"R1, R4",0805,2,1M,
"R10, R12, R13, R15, R16, R19, R24, R27, R3, R7, R8",0805,11,330R,
"R11, R6",0805,2,0R,
"R14, R17, R18, R20, R21, R23, R25, R26, R9",0805,9,10k,
"R2, R5",0805,2,4.3M,
R22,1206,1,13m,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,5V,
TP3,TestPoint_Keystone_5000-5004_Miniature,1,PWM_MCU,
TP4,TestPoint_Keystone_5000-5004_Miniature,1,PWM_SERVO,
TP5,TestPoint_Keystone_5000-5004_Miniature,1,PWM_FS,
U1,SOIC254P610X218-4N,1,CPC1117N,
"U2, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562,
"U3, U5",SSOP-28_5.3x10.2mm_P0.65mm,2,PIC18F26K83,
U6,SOT-23-5,1,SN74LVC1G14DBV,
U7,SOT65P280X110-8N,1,INA232AIDDFR,
U8,SOT230P700X180-4N,1,UA78M05IDCYR,
U9,OnSemi_ECH8,1,ECH8420-TL-H,
"X1, X2",Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,2,12MHz,
